Guzman te vas a quedar sin el pan y sin la torta por hdp!!!	1
A mi me da vergüenza como español que un comunista asqueroso como @pnique o @Pablo_Iglesias_  cobren de mis impuestos.	1
Gracias 	0
Cállate narcotraficante, perro desgraciado.  Mereces la silla eléctrica junto a la puta zorra de tu mujerhttps://twitter.com/vwinstonv/status/1098301938930774016 …	1
Si la mina se defendia dentro de su casa y hería al chorro va presa ella igual, tenemos una justicia de mierda	0
Chingas a tu madre puto borracho de mierda.....donde está el dinero del chino donde está el dinero del plan merida que da los estados unidos... porque tanto daño...tanto robo al pueblo viejo pendejo.. https://twitter.com/FelipeCalderon/status/1102605003854962690 …	1
@chahuan es una mierda de político y payaso como su presidente que solo hace algo o dice cuando hay micrófonos y cámara. @sebastianpinera no fue a USA porque sería la guinda de la torta de la irresponsabilidad y porque lo pillaron donde iría. Nada más.	0
Oh no, igual su voz es una mierda jajajajajajaja	0
Porque es un fascista de mierda y un hooligan, pero nada, que sigan blanqueando al fascismo y vosotros apoyándolos, ovejitas!!!	1
Pero si es un zurdo ignorante.....que mas	1
Si lo piensas bien gratis no es, saca cuenta si trabajas a cambio de casi nada, si estudias “gratis “ para luego trabajar de por vida a cambio de nada y vas a un hospital sucio, donde faltan medicinas y las tienes que comprar por la izquierda gratis no eseres un esclavo	0
@_SusoGH16_ eres lo más mierda que una mujer se puede echar a la cara.\nVergüenza de la educación y de los valores que te han dado.\nEspero que nunca le toque a una mujer de tu familia un chico que le haga lo que tú le has hecho a Aurah, ojalá que no.\nMachista de mierda	1
Este negro asqueroso se hace el malo no?? Menos mal q no te voy a ver negro horroroso #LaGranFinalDeCombate	1
Que puto asco... El tío follandose a una española blanca...\n\nA quien le caiga bien este negro es un cuckazo.https://twitter.com/arnaupc/status/1073246540611940352 …	1
que asentis vos idiota de mierda si te cagas en todas las personas lgbt	1
Mi gato es el único que me acompaña a escuchar la música de Stray Kids y luego se va, pero me acompaña, eso si es amor :')	0
No hay nada mas atrevido que un ignorante.	0
Remamahuevo indio de mierda	1
Ni un maldito puto tiro han echo en el segundo tiempo los delanteros del america , ni uno	0
che que orador de gran puta AF!! CFK lo mira y se quiere matar!!!!	1
Mareros malditos hijos de puta! Que hacen con matar a la gente que no les debe nada! Son una escoria!	1
dale, seguí haciéndote el aliado feminista puto de mierda, harta de que vos y tus amigos machos misóginos traten a las mujeres de zorras por atreverse a hablar, de que se manden fotos de minas en bolas y se burlen. lo único que saben hacer es defenderse entre ustedes por cagones.	1
Larry Runner \nNo busque más...\nEl/la que que otorgaron la beca de imbecil defensora de pleitos pobres ya ha aparecido...\nQue susto creía que hoy no me iban a llamar fascista...digo a que al final no lo soy...hasta me habían hecho dudar...que tengas un feliz sábado mermao/a	0
Y todos estos q dicen q a la hinchada del América no le gusta nada, a quien putas han traído q por lo menos uno conozca?? Por eso estamos asi, por la mediocridad de algunos  y el verdulero, se volvieron felices con cuanto marica traen, ya se les olvidó 30 petardos q han traido...	0
@IvanDuque nos está voltiando la torta. Qué simpático olvidar en tan poquito tiempo lo que como congresista criticaba y mírenlo pues. Subiendo impuestos y creando otros. Políticos de mierda https://twitter.com/GustavoBolivar/status/1057626392584749057 …	1
La #Fiscalía General de la República solicita a Interpol alerta roja contra Nervis Villalobos. Jajajaja la #NarcoDictadura #chavista #madurista #cubana #terrorista #criminal #corrupta del #ilegitimo #ladron #asesino\n@NicolasMaduro quieren traer a vzla a Villalobo para que no cant	1
